"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW4(2)1,SW9(7)1,SW43(b)1,SW14(=)1,SW47(m)1,SW78(rctrl)1,SW46(k)1,SW64(lalt)1,SW41(v)1,SW15(bckspc)1,SW8(6)1,SW11(9)1,SW16(tab)1,SW23(u)1,SW40(g)1,SW28(])1,SW32(a)1,SW3(1)1,SW42(h)1,SW21(t)1,SW37(x)1,SW22(y)1,SW55(rshift)1,SW27([)1,SW31(unused)1,SW51(.)1,SW26(p)1,SW60(lctrl)1,SW20(r)1,SW33(lshift)1,SW5(3)1,SW39(c)1,SW57(up)1,SW84(right)1,SW2(esc)1,SW30(caps)1,SW82(down)1,SW36(d)1,SW17(q)1,SW18(w)1,SW70(spc)1,SW54(ret)1,SW58(globe)1,SW10(8)1,SW44(j)1,SW13(-)1,SW7(5)1,SW80(left)1,SW19(e)1,SW76(ralt)1,SW25(o)1,SW68(spc)1,SW49(,)1,SW50(;)1,SW48(l)1,SW72(spc)1,SW6(4)1,SW38(f)1,SW24(i)1,SW45(n)1,SW34(s)1,SW74(spc)1,SW35(z)1,SW52(')1,SW62(super)1,SW29(\)1,SW53(/)1,SW56(unused)1,SW66(spc)1,SW12(0)1";"Cherry_ULP_TH";70;"SW_Push_45deg";;;
2;"D37,D73,D29,D10,D12,D6,D20,D22,D59,D54,D71,D46,D15,D61,D24,D42,D5,D83,D69,D35,D75,D81,D9,D77,D7,D67,D38,D57,D1,D11,D39,D55,D41,D26,D36,D17,D40,D32,D18,D63,D27,D43,D31,D23,D19,D48,D79,D2,D34,D45,D14,D53,D8,D4,D30,D51,D16,D3,D13,D56,D25,D52,D28,D49,D50,D44,D65,D47,D21,D33";"D_SOD-523";70;"D_45deg";;;
3;"R4,R19,R24,R22,R23,R3,R21,R25,R32,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";10;"10k";;;
4;"R6,R12,R34,R5,R13,R7,R18,R8,R9,R15,R10,R16,R30,R11,R17,R33,R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";17;"100k";;;
5;"C12,C11,C15,C17";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"22nF";;;
6;"R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"5.1k";;;
7;"C10,C16,C14,C13";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"2.2uF";;;
8;"C9,C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"100nF";;;
9;"C2,C1,C5,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"1uF";;;
10;"U5";"UFBGA136_MCH-M";1;"~";;;
11;"SW5";"SW-TH_RS601A-1020013BB";1;"RS601A-1020013BB";;;
12;"R26";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1M";;;
13;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
14;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
15;"Q1,Q2,Q3";"SOT-23";3;"BSS84";;;
16;"SW2,SW1,SW4,SW3";"SW_PUSH_6mm";4;"SW_Push";;;
17;"USB1";"USB-C-SMD_TYPE-C-6PIN-2MD-073";1;"TYPE-C 16PIN 2MD(073)";;;
18;"R28,R29,R27";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"45k";;;
19;"R31";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3.3k";;;
20;"U3";"QFN50P500X500X60-33N";1;"TCA6424ARGJR";;;
21;"U1";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
22;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
23;"C8";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10nF";;;
24;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
25;"U4";"VSSOP-10_3x3mm_P0.5mm";1;"DRV2605LDGS";;;
26;"U6";"BH-AAA-B5AA005";1;"BH-AAA-B5AA005";;;
